user_uuid,n_pratiche,quota_challenge,n_coach_diversi,categoria_top,livello_top,piattaforma_top,paese,iscrizione,prima_pratica,ultima_pratica,mesi_attivita,giorni_iscritto,cluster,persona
218,3,67.0,3,hatha,advanced,mobile,it,2021-02-16,2022-01-28,2023-11-04,21.2,1045,2,Lo Zoccolo Duro
219,2,100.0,2,meditation,basic,pc,it,2021-12-24,2022-03-08,2022-05-18,2.3,734,4,I Cacciatori di Challenge
220,5,80.0,4,hatha,basic,tv,it,2021-11-05,2022-03-05,2023-03-05,12.0,783,0,Le Reclute in Crescita
221,2,50.0,2,power yoga,advanced,pc,it,2021-04-25,2022-02-04,2022-09-22,7.6,977,3,I Distaccati
222,3,67.0,3,vinyasa,advanced,tv,it,2021-05-05,2022-09-02,2023-11-09,14.2,967,2,Lo Zoccolo Duro
223,3,67.0,2,hatha,advanced,tv,uk,2020-12-01,2022-08-12,2023-08-18,12.2,1122,3,I Distaccati
224,4,100.0,4,hatha,advanced,tv,it,2020-06-04,2021-09-09,2023-07-18,22.2,1302,2,Lo Zoccolo Duro
225,3,100.0,2,vinyasa,advanced,mobile,it,2020-12-25,2021-06-04,2022-02-05,8.1,1098,4,I Cacciatori di Challenge
226,4,75.0,4,power yoga,advanced,pc,uk,2020-10-04,2021-03-13,2023-10-16,31.1,1180,2,Lo Zoccolo Duro
227,6,100.0,5,power yoga,advanced,pc,uk,2022-02-17,2023-01-05,2023-12-23,11.6,679,0,Le Reclute in Crescita
228,4,75.0,3,vinyasa,intermediate,mobile,fr,2022-05-23,2023-03-21,2023-10-03,6.4,584,0,Le Reclute in Crescita
229,5,80.0,5,hatha,intermediate,tv,it,2021-04-24,2022-02-11,2023-09-26,19.4,978,2,Lo Zoccolo Duro
230,6,67.0,6,power yoga,advanced,pc,it,2020-01-09,2021-08-24,2023-04-27,20.1,1449,1,I Campioni
231,5,100.0,5,vinyasa,advanced,pc,it,2022-01-03,2023-04-25,2023-10-06,5.4,724,0,Le Reclute in Crescita
232,2,100.0,2,hatha,advanced,pc,fr,2021-06-25,2022-02-14,2023-11-21,21.2,916,2,Lo Zoccolo Duro
233,3,67.0,3,power yoga,advanced,tv,uk,2021-06-11,2022-04-10,2022-12-23,8.4,930,3,I Distaccati
234,2,0.0,2,power yoga,advanced,pc,fr,2021-11-19,2022-09-20,2023-05-15,7.8,769,3,I Distaccati
235,2,50.0,2,power yoga,advanced,mobile,it,2021-02-11,2022-02-08,2023-06-06,15.9,1050,3,I Distaccati
236,4,100.0,4,power yoga,intermediate,mobile,it,2022-05-19,2023-05-11,2023-09-27,4.6,588,0,Le Reclute in Crescita
237,12,83.0,8,power yoga,advanced,pc,uk,2022-03-23,2023-02-01,2023-12-28,10.8,645,1,I Campioni
238,1,0.0,1,hatha,intermediate,tv,uk,2020-09-16,2023-02-22,2023-02-22,0.0,1198,3,I Distaccati
239,5,60.0,4,power yoga,basic,tv,uk,2020-02-04,2022-01-12,2023-06-04,16.7,1423,2,Lo Zoccolo Duro
240,4,75.0,4,meditation,advanced,pc,it,2021-01-15,2022-03-20,2022-11-07,7.6,1077,2,Lo Zoccolo Duro
241,5,100.0,4,power yoga,advanced,pc,it,2022-05-11,2023-04-19,2023-12-06,7.6,596,0,Le Reclute in Crescita
242,2,100.0,2,hatha,advanced,pc,it,2021-10-06,2022-05-26,2022-06-24,1.0,813,4,I Cacciatori di Challenge
243,3,67.0,3,meditation,advanced,pc,fr,2020-08-24,2022-02-07,2023-12-01,21.7,1221,2,Lo Zoccolo Duro
244,8,62.0,6,meditation,advanced,tv,uk,2021-05-25,2022-06-05,2023-07-15,13.3,947,1,I Campioni
245,4,75.0,3,power yoga,basic,mobile,uk,2022-11-28,2023-03-15,2023-11-23,8.3,395,0,Le Reclute in Crescita
